candidato,votos,porcentaje,nivel,region,distrito,comuna
FRANCO PARISI FERNANDEZ,4037,41.39,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
JEANNETTE JARA ROMAN,1744,17.88,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,114,1.1700000000000002,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1354,13.88,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
JOSE ANTONIO KAST RIST,1962,20.110000000000003,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
EDUARDO ANTONIO ARTES BRICHETTI,40,0.41000000000000003,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
EVELYN MATTHEI FORNET,442,4.53,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
HAROLD MAYNE-NICHOLLS SECUL,61,0.63,comuna,DE TARAPACA,DISTRITO 2,POZO ALMONTE
FRANCO PARISI FERNANDEZ,137597,34.99,region,DE ANTOFAGASTA,NA,NA
JEANNETTE JARA ROMAN,91828,23.35,region,DE ANTOFAGASTA,NA,NA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,4499,1.1400000000000001,region,DE ANTOFAGASTA,NA,NA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,51447,13.08,region,DE ANTOFAGASTA,NA,NA
JOSE ANTONIO KAST RIST,70868,18.02,region,DE ANTOFAGASTA,NA,NA
EDUARDO ANTONIO ARTES BRICHETTI,2102,0.53,region,DE ANTOFAGASTA,NA,NA
EVELYN MATTHEI FORNET,29390,7.470000000000001,region,DE ANTOFAGASTA,NA,NA
HAROLD MAYNE-NICHOLLS SECUL,5469,1.3900000000000001,region,DE ANTOFAGASTA,NA,NA
FRANCO PARISI FERNANDEZ,79669,32.54,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
JEANNETTE JARA ROMAN,60507,24.71,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2738,1.12,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,31798,12.99,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
JOSE ANTONIO KAST RIST,44020,17.979999999999997,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
EDUARDO ANTONIO ARTES BRICHETTI,1375,0.56,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
